,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
30377,2012,London,Gymnastics,Gymnastics Rhythmic,Aliaksandra Narkevich,BLR,Women,Group Competition,Silver,Belarus,
30378,2012,London,Gymnastics,Gymnastics Rhythmic,Kseniya Sankovich,BLR,Women,Group Competition,Silver,Belarus,
30379,2012,London,Gymnastics,Gymnastics Rhythmic,Alina Tumilovich,BLR,Women,Group Competition,Silver,Belarus,
30380,2012,London,Gymnastics,Gymnastics Rhythmic,Elisa Blanchi,ITA,Women,Group Competition,Bronze,Italy,
30381,2012,London,Gymnastics,Gymnastics Rhythmic,Romina Laurito,ITA,Women,Group Competition,Bronze,Italy,
30382,2012,London,Gymnastics,Gymnastics Rhythmic,Marta Pagnini,ITA,Women,Group Competition,Bronze,Italy,
30383,2012,London,Gymnastics,Gymnastics Rhythmic,Elisa Santoni,ITA,Women,Group Competition,Bronze,Italy,
30384,2012,London,Gymnastics,Gymnastics Rhythmic,Anzhelika Savrayuk,ITA,Women,Group Competition,Bronze,Italy,
30385,2012,London,Gymnastics,Gymnastics Rhythmic,Andreea Stefanescu,ITA,Women,Group Competition,Bronze,Italy,
30386,2012,London,Gymnastics,Gymnastics Rhythmic,Evgeniya Kanaeva,RUS,Women,Individual All-Around,Gold,Russia,
30387,2012,London,Gymnastics,Gymnastics Rhythmic,Daria Dmitrieva,RUS,Women,Individual All-Around,Silver,Russia,
30388,2012,London,Gymnastics,Gymnastics Rhythmic,Liubou Charkashyna,BLR,Women,Individual All-Around,Bronze,Belarus,
30389,2012,London,Gymnastics,Trampoline,Dong Dong,CHN,Men,Individual,Gold,China,
30390,2012,London,Gymnastics,Trampoline,Dmitry Ushakov,RUS,Men,Individual,Silver,Russia,
30391,2012,London,Gymnastics,Trampoline,Chunlong Lu,CHN,Men,Individual,Bronze,China,
30392,2012,London,Gymnastics,Trampoline,Rosannagh Maclennan,CAN,Women,Individual,Gold,Canada,
30393,2012,London,Gymnastics,Trampoline,Shanshan Huang,CHN,Women,Individual,Silver,China,
30394,2012,London,Gymnastics,Trampoline,Wenna He,CHN,Women,Individual,Bronze,China,
30395,2012,London,Handball,Handball,Luc Abalo,FRA,Men,Handball,Gold,France,
30396,2012,London,Handball,Handball,William Accambray,FRA,Men,Handball,Gold,France,
30397,2012,London,Handball,Handball,Xavier Barachet,FRA,Men,Handball,Gold,France,
30398,2012,London,Handball,Handball,Didier Dinart,FRA,Men,Handball,Gold,France,
30399,2012,London,Handball,Handball,Jerome Fernandez,FRA,Men,Handball,Gold,France,
30400,2012,London,Handball,Handball,Bertrand Gille,FRA,Men,Handball,Gold,France,
30401,2012,London,Handball,Handball,Guillaume Gille,FRA,Men,Handball,Gold,France,
30402,2012,London,Handball,Handball,Michael Guigou,FRA,Men,Handball,Gold,France,
30403,2012,London,Handball,Handball,Samuel Honrubia,FRA,Men,Handball,Gold,France,
30404,2012,London,Handball,Handball,Guillaume Joli,FRA,Men,Handball,Gold,France,
30405,2012,London,Handball,Handball,Nikola Karabatic,FRA,Men,Handball,Gold,France,
30406,2012,London,Handball,Handball,Daouda Karaboue,FRA,Men,Handball,Gold,France,
30407,2012,London,Handball,Handball,Daniel Narcisse,FRA,Men,Handball,Gold,France,
30408,2012,London,Handball,Handball,Thierry Omeyer,FRA,Men,Handball,Gold,France,
30409,2012,London,Handball,Handball,Cedric Sorhaindo,FRA,Men,Handball,Gold,France,
30410,2012,London,Handball,Handball,Kim Andersson,SWE,Men,Handball,Silver,Sweden,
30411,2012,London,Handball,Handball,Mattias Andersson,SWE,Men,Handball,Silver,Sweden,
30412,2012,London,Handball,Handball,Dalibor Doder,SWE,Men,Handball,Silver,Sweden,
30413,2012,London,Handball,Handball,Niclas Ekberg,SWE,Men,Handball,Silver,Sweden,
30414,2012,London,Handball,Handball,Kim Ekdahl Du Rietz,SWE,Men,Handball,Silver,Sweden,
30415,2012,London,Handball,Handball,Mattias Gustafsson,SWE,Men,Handball,Silver,Sweden,
30416,2012,London,Handball,Handball,Johan Jakobsson,SWE,Men,Handball,Silver,Sweden,
30417,2012,London,Handball,Handball,Magnus Jernemyr,SWE,Men,Handball,Silver,Sweden,
30418,2012,London,Handball,Handball,Jonas Kallman,SWE,Men,Handball,Silver,Sweden,
30419,2012,London,Handball,Handball,Tobias Karlsson,SWE,Men,Handball,Silver,Sweden,
30420,2012,London,Handball,Handball,Jonas Larholm,SWE,Men,Handball,Silver,Sweden,
30421,2012,London,Handball,Handball,Andreas Nilsson,SWE,Men,Handball,Silver,Sweden,
30422,2012,London,Handball,Handball,Fredrik Petersen,SWE,Men,Handball,Silver,Sweden,
30423,2012,London,Handball,Handball,Johan Sjostrand,SWE,Men,Handball,Silver,Sweden,
30424,2012,London,Handball,Handball,Mattias Zakrisson,SWE,Men,Handball,Silver,Sweden,
30425,2012,London,Handball,Handball,Mirko Alilovic,CRO,Men,Handball,Bronze,Croatia,
30426,2012,London,Handball,Handball,Ivano Balic,CRO,Men,Handball,Bronze,Croatia,
30427,2012,London,Handball,Handball,Damir Bicanic,CRO,Men,Handball,Bronze,Croatia,
30428,2012,London,Handball,Handball,Denis Buntic,CRO,Men,Handball,Bronze,Croatia,
30429,2012,London,Handball,Handball,Ivan Cupic,CRO,Men,Handball,Bronze,Croatia,
30430,2012,London,Handball,Handball,Domagoj Duvnjak,CRO,Men,Handball,Bronze,Croatia,
30431,2012,London,Handball,Handball,Jakov Gojun,CRO,Men,Handball,Bronze,Croatia,
30432,2012,London,Handball,Handball,Zlatko Horvat,CRO,Men,Handball,Bronze,Croatia,
30433,2012,London,Handball,Handball,Marko Kopljar,CRO,Men,Handball,Bronze,Croatia,
30434,2012,London,Handball,Handball,Blazenko Lackovic,CRO,Men,Handball,Bronze,Croatia,
30435,2012,London,Handball,Handball,Venio Losert,CRO,Men,Handball,Bronze,Croatia,
30436,2012,London,Handball,Handball,Ivan Nincevic,CRO,Men,Handball,Bronze,Croatia,
30437,2012,London,Handball,Handball,Manuel Strlek,CRO,Men,Handball,Bronze,Croatia,
30438,2012,London,Handball,Handball,Igor Vori,CRO,Men,Handball,Bronze,Croatia,
30439,2012,London,Handball,Handball,Drago Vukovic,CRO,Men,Handball,Bronze,Croatia,
30440,2012,London,Handball,Handball,Ida Alstad,NOR,Women,Handball,Gold,Norway,
30441,2012,London,Handball,Handball,Karoline Dyhre Breivang,NOR,Women,Handball,Gold,Norway,
30442,2012,London,Handball,Handball,Marit Malm Frafjord,NOR,Women,Handball,Gold,Norway,
30443,2012,London,Handball,Handball,Kari Aalvik Grimsboe,NOR,Women,Handball,Gold,Norway,
30444,2012,London,Handball,Handball,Katrine Lunde Haraldsen,NOR,Women,Handball,Gold,Norway,
30445,2012,London,Handball,Handball,Camilla Herrem,NOR,Women,Handball,Gold,Norway,
30446,2012,London,Handball,Handball,Kari Mette Johansen,NOR,Women,Handball,Gold,Norway,
30447,2012,London,Handball,Handball,Amanda Kurtovic,NOR,Women,Handball,Gold,Norway,
30448,2012,London,Handball,Handball,Heidi Loke,NOR,Women,Handball,Gold,Norway,
30449,2012,London,Handball,Handball,Kristine Lunde-Borgersen,NOR,Women,Handball,Gold,Norway,
30450,2012,London,Handball,Handball,Tonje Nostvold,NOR,Women,Handball,Gold,Norway,
30451,2012,London,Handball,Handball,Linn-Kristin Riegelhuth,NOR,Women,Handball,Gold,Norway,
30452,2012,London,Handball,Handball,Goeril Snorroeggen,NOR,Women,Handball,Gold,Norway,
30453,2012,London,Handball,Handball,Linn Jorum Sulland,NOR,Women,Handball,Gold,Norway,
30454,2012,London,Handball,Handball,Sonja Barjaktarovic,MNE,Women,Handball,Silver,Montenegro,
30455,2012,London,Handball,Handball,Andela Bulatovic,MNE,Women,Handball,Silver,Montenegro,
30456,2012,London,Handball,Handball,Katarina Bulatovic,MNE,Women,Handball,Silver,Montenegro,
30457,2012,London,Handball,Handball,Ana Dokic,MNE,Women,Handball,Silver,Montenegro,
30458,2012,London,Handball,Handball,Marija Jovanovic,MNE,Women,Handball,Silver,Montenegro,
30459,2012,London,Handball,Handball,Milena Knezevic,MNE,Women,Handball,Silver,Montenegro,
30460,2012,London,Handball,Handball,Suzana Lazovic,MNE,Women,Handball,Silver,Montenegro,
30461,2012,London,Handball,Handball,Majda Mehmedovic,MNE,Women,Handball,Silver,Montenegro,
30462,2012,London,Handball,Handball,Radmila Miljanic,MNE,Women,Handball,Silver,Montenegro,
30463,2012,London,Handball,Handball,Bojana Popovic,MNE,Women,Handball,Silver,Montenegro,
30464,2012,London,Handball,Handball,Jovanka Radicevic,MNE,Women,Handball,Silver,Montenegro,
30465,2012,London,Handball,Handball,Ana Radovic,MNE,Women,Handball,Silver,Montenegro,
30466,2012,London,Handball,Handball,Maja Savic,MNE,Women,Handball,Silver,Montenegro,
30467,2012,London,Handball,Handball,Marina Vukcevic,MNE,Women,Handball,Silver,Montenegro,
30468,2012,London,Handball,Handball,Macarena Aguilar Diaz,ESP,Women,Handball,Bronze,Spain,
30469,2012,London,Handball,Handball,Nely Alberto Francisca,ESP,Women,Handball,Bronze,Spain,
30470,2012,London,Handball,Handball,Jessica Alonso Bernardo,ESP,Women,Handball,Bronze,Spain,
30471,2012,London,Handball,Handball,Vanessa Amoros Quiles,ESP,Women,Handball,Bronze,Spain,
30472,2012,London,Handball,Handball,Andrea Barno San Martin,ESP,Women,Handball,Bronze,Spain,
30473,2012,London,Handball,Handball,Mihaela Ciobanu Ciobanu,ESP,Women,Handball,Bronze,Spain,
30474,2012,London,Handball,Handball,Veronica Cuadrado Dehesa,ESP,Women,Handball,Bronze,Spain,
30475,2012,London,Handball,Handball,Patricia Elorza Eguiara,ESP,Women,Handball,Bronze,Spain,
30476,2012,London,Handball,Handball,Beatriz Fernandez Ibanez,ESP,Women,Handball,Bronze,Spain,
30477,2012,London,Handball,Handball,Begona Fernandez Molinos,ESP,Women,Handball,Bronze,Spain,
30478,2012,London,Handball,Handball,Marta Lopez Herrero,ESP,Women,Handball,Bronze,Spain,
30479,2012,London,Handball,Handball,Marta Mangue Gonzalez,ESP,Women,Handball,Bronze,Spain,
30480,2012,London,Handball,Handball,Silvia Navarro Jimenez,ESP,Women,Handball,Bronze,Spain,
30481,2012,London,Handball,Handball,Elisabeth Pinedo Saenz,ESP,Women,Handball,Bronze,Spain,
30482,2012,London,Hockey,Hockey,Oskar Deecke,GER,Men,Hockey,Gold,Germany,
30483,2012,London,Hockey,Hockey,Florian Fuchs,GER,Men,Hockey,Gold,Germany,
30484,2012,London,Hockey,Hockey,Moritz Fuerste,GER,Men,Hockey,Gold,Germany,
