,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
206,1900,Paris,Aquatics,Water polo,Jean De Backer,BEL,Men,Water Polo,Silver,Belgium
207,1900,Paris,Aquatics,Water polo,Victor De Behr,BEL,Men,Water Polo,Silver,Belgium
208,1900,Paris,Aquatics,Water polo,Fernand Feyaerts,BEL,Men,Water Polo,Silver,Belgium
209,1900,Paris,Aquatics,Water polo,Oscar Gregoire,BEL,Men,Water Polo,Silver,Belgium
210,1900,Paris,Aquatics,Water polo,Albert Michant,BEL,Men,Water Polo,Silver,Belgium
211,1900,Paris,Aquatics,Water polo,Victor Sonnemans,BEL,Men,Water Polo,Silver,Belgium
212,1900,Paris,Archery,Archery,Charles FrÃ©dÃ©ric Petit,FRA,Men,"Au Chapelet, 33M",Bronze,France
213,1900,Paris,Archery,Archery,Hubert Van Innis,BEL,Men,"Au Chapelet, 33M",Gold,Belgium
214,1900,Paris,Archery,Archery,Victor Thibaud,FRA,Men,"Au Chapelet, 33M",Silver,France
215,1900,Paris,Archery,Archery,Emile Mercier,FRA,Men,"Au Chapelet, 50M",Bronze,France
216,1900,Paris,Archery,Archery,EugÃ¨ne Mougin,FRA,Men,"Au Chapelet, 50M",Gold,France
217,1900,Paris,Archery,Archery,Henri Helle,FRA,Men,"Au Chapelet, 50M",Silver,France
218,1900,Paris,Archery,Archery,Charles FrÃ©dÃ©ric Petit,FRA,Men,"Au Cordon DorÃ©, 33M",Bronze,France
219,1900,Paris,Archery,Archery,Hubert Van Innis,BEL,Men,"Au Cordon DorÃ©, 33M",Gold,Belgium
220,1900,Paris,Archery,Archery,Victor Thibaud,FRA,Men,"Au Cordon DorÃ©, 33M",Silver,France
221,1900,Paris,Archery,Archery,Emile Fisseux,FRA,Men,"Au Cordon DorÃ©, 50M",Bronze,France
222,1900,Paris,Archery,Archery,Henri Herouin,FRA,Men,"Au Cordon DorÃ©, 50M",Gold,France
223,1900,Paris,Archery,Archery,Hubert Van Innis,BEL,Men,"Au Cordon DorÃ©, 50M",Silver,Belgium
224,1900,Paris,Archery,Archery,Emmanuel Foulon,BEL,Men,Sur La Perche Ã€ La Herse,Gold,Belgium
225,1900,Paris,Archery,Archery,Jr. Druart,BEL,Men,Sur La Perche Ã€ La Herse,Silver,Belgium
226,1900,Paris,Archery,Archery,Auguste Serrurier,FRA,Men,Sur La Perche Ã€ La Herse,Silver,France
227,1900,Paris,Archery,Archery,Louis Glineux,BEL,Men,Sur La Perche Ã€ La Pyramide,Bronze,Belgium
228,1900,Paris,Archery,Archery,Emile Grumiaux,FRA,Men,Sur La Perche Ã€ La Pyramide,Gold,France
229,1900,Paris,Archery,Archery,Auguste Serrurier,FRA,Men,Sur La Perche Ã€ La Pyramide,Silver,France
